caller_name,caller_fullName,caller_file,call_line,callee,call_file,callee_kind,resolved_defs
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,93,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOSConfig.h:configASSERT:ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,macro,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,93,<operator>.equals,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,93,vAssertCalled,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,function,main.c:58-72
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,100,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,100,<operator>.sizeOf,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,101,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOSConfig.h:configASSERT:ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,macro,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,101,<operator>.equals,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,101,<operator>.equals,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,101,<operator>.sizeOf,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,101,vAssertCalled,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,function,main.c:58-72
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,109,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,109,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,111,<operator>.notEquals,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,113,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,113,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,operator,
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,114,vListInitialise,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,function,/home/zwz/FreeRTOS/FreeRTOS/Source/list.c:49-86
