function_name,signature,source_file,full_name,index
portMPU_REGION_ATTRIBUTE_REG,unsigned int(0),main.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskEXIT_CRITICAL:ANY(0),678
portNVIC_IP_REGISTERS_OFFSET_16,ANY(0),fuzz_harness.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/mpu_wrappers.h:vQueueDelete:ANY(0),686
portPRIVILEGED_RAM_REGION,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOSConfig.h:configTIMER_QUEUE_LENGTH:int(0),687
portNVIC_SYSTICK_ENABLE,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:MPU_GetQueueHandleAtIndex:ANY(1),690
portSET_INTERRUPT_MASK_FROM_ISR,ANY(3),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c:queueLOCKED_UNMODIFIED:ANY(0),702
portIS_ADDRESS_WITHIN_RANGE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c:prvRECEIVE_COMPLETED:ANY(1),703
portTOP_BIT_OF_BYTE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portNVIC_SYSTICK_ENABLE:ANY(0),708
portBASE_TYPE_EXIT_CRITICAL,unsigned int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskTASK_IS_RUNNING_OR_SCHEDULED_TO_YIELD:ANY(1),710
portMPU_REGION_PRIVILEGED_READ_WRITE,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:tskSTACK_FILL_BYTE:ANY(0),713
heapMULTIPLY_WILL_OVERFLOW,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c:prvLockQueue:ANY(1),716
configTOTAL_HEAP_SIZE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:taskYIELD_TASK_CORE_IF_USING_PREEMPTION:ANY(1),717
portBYTE_ALIGNMENT,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portIS_ADDRESS_WITHIN_RANGE:ANY(3),721
heapBLOCK_IS_ALLOCATED,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskYIELD:ANY(0),723
heapFREE_BLOCK,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/mpu_wrappers.h:PRIVILEGED_DATA:ANY(0),724
portACL_ENTRY_SIZE_BITS,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/timers.h:tmrCOMMAND_DELETE:ANY(0),725
