metric,value
analysis_timestamp,2025-09-10 10:02:57
total_functions,730
total_function_calls,0
total_files,18
header_files,0
source_files,18
functions_with_complexity,100
total_parameters,153
cpg_source,/home/zwz/FreeRTOS/FreeRTOS/Demo/CORTEX_MPU_M3_MPS2_QEMU_GCC/with_compdb_cpg.bin
json_source,/home/zwz/FreeRTOS/FreeRTOS/Demo/CORTEX_MPU_M3_MPS2_QEMU_GCC/with_compdb_cpg.json/export.json
