function_name,signature,filename,line_number,full_name,index
xTaskGetCurrentTaskHandleForCore,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,uxTaskGetTaskNumber,433
xTaskGetSchedulerState,BaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,vTaskSetTaskNumber,434
xTaskPriorityInherit,BaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,prvIdleTask,435
xTaskPriorityDisinherit,"void(TaskHandle_t,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,vTaskAllocateMPURegions,436
vTaskPriorityDisinheritAfterTimeout,TickType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,prvInitialiseTaskLists,437
uxTaskResetEventItemValue,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,prvCheckTasksWaitingTermination,438
pvTaskIncrementMutexHeldCount,"uint32_t(UBaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,vTaskGetInfo,439
ulTaskGenericNotifyTake,"BaseType_t(UBaseType_t,uint32_t,uint32_t,uint32_t*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,prvListTasksWithinSingleList,440
xTaskGenericNotifyWait,"BaseType_t(TaskHandle_t,UBaseType_t,uint32_t,eNotifyAction,uint32_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,prvTaskCheckFreeStackSpace,441
xTaskGenericNotify,"BaseType_t(TaskHandle_t,UBaseType_t,uint32_t,eNotifyAction,uint32_t*,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,uxTaskGetStackHighWaterMark2,442
xTaskGenericNotifyFromISR,"void(TaskHandle_t,UBaseType_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,uxTaskGetStackHighWaterMark,443
vTaskGenericNotifyGiveFromISR,"BaseType_t(TaskHandle_t,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,prvDeleteTCB,444
xTaskGenericNotifyStateClear,"uint32_t(TaskHandle_t,UBaseType_t,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,prvResetNextTaskUnblockTime,445
ulTaskGenericNotifyValueClear,"void(TickType_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,xTaskGetCurrentTaskHandle,446
prvAddCurrentTaskToDelayedList,xMPU_SETTINGS(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,xTaskGetCurrentTaskHandleForCore,447
xTaskGetMPUSettings,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,xTaskGetSchedulerState,448
vTaskResetState,int(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,xTaskPriorityInherit,449
vApplicationGetIdleTaskMemory,"void(StaticTask_t**,StackType_t**,uint32_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,vTaskGenericNotifyGiveFromISR,458
vApplicationGetTimerTaskMemory,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,xTaskGenericNotifyStateClear,459
prvAddTaskToReadyList,int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listLIST_IS_EMPTY:ANY(1),498
configTASK_NOTIFICATION_ARRAY_ENTRIES,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portNVIC_SYSTICK_INT:ANY(0),499
portTASK_SWITCH_HOOK,ANY(5),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOS.h:configNUMBER_OF_CORES:int(0),503
xTaskNotifyIndexedFromISR,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portNVIC_SYSTICK_CTRL_REG:ANY(0),504
taskNOT_WAITING_NOTIFICATION,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/list.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portMAX_DELAY:ANY(0),520
taskYIELD_WITHIN_API,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOS.h:portTICK_TYPE_CLEAR_INTERRUPT_MASK_FROM_ISR:ANY(1),523
configTIMER_SERVICE_TASK_NAME,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portPRIVILEGED_FLASH_REGION:ANY(0),539
taskSWITCH_DELAYED_LISTS,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdPASS:ANY(0),543
configTIMER_TASK_STACK_DEPTH,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portMPU_TYPE_REG:ANY(0),549
MPU_GetIndexForTaskHandle,int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/include/timers.h:tmrCOMMAND_STOP:ANY(0),554
taskNOTIFICATION_RECEIVED,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portMPU_REGION_BASE_ADDRESS_REG:ANY(0),562
