function_name,signature,filename,line_number,full_name,index
xEventGroupCreateStatic,EventGroupHandle_t(StaticEventGroup_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,10,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c:<global>,0
xEventGroupCreate,EventGroupHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,2025,xEventGroupCreateStatic,1
xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,9,xEventGroupCreate,2
xEventGroupWaitBits,"EventBits_t(EventGroupHandle_t,EventBits_t,BaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,13,xEventGroupSync,3
xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,20,xEventGroupWaitBits,4
xEventGroupClearBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,10,xEventGroupClearBits,5
xEventGroupGetBitsFromISR,EventBits_t(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,2025,xEventGroupClearBitsFromISR,6
xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,9,xEventGroupGetBitsFromISR,7
vEventGroupDelete,void(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,13,xEventGroupSetBits,8
xEventGroupGetStaticBuffer,"BaseType_t(EventGroupHandle_t,StaticEventGroup_t**)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,20,vEventGroupDelete,9
vEventGroupSetBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,10,xEventGroupGetStaticBuffer,10
vEventGroupClearBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,2025,vEventGroupSetBitsCallback,11
xEventGroupSetBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,13,prvTestWaitCondition,13
uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,20,xEventGroupSetBitsFromISR,14
vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,4,uxEventGroupGetNumber,15
MPU_xEventGroupWaitBitsEntry,EventBits_t(xEventGroupWaitBitsParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_uxTimerGetReloadMode,72
MPU_xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xTimerGetPeriod,73
MPU_xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xTimerGetExpiryTime,74
MPU_xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xEventGroupWaitBitsEntry,75
MPU_uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xEventGroupClearBits,76
MPU_vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xEventGroupSetBits,77
MPU_xEventGroupWaitBits,"EventBits_t(EventGroupHandle_t,EventBits_t,BaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTimerGetPeriodImpl,211
MPU_xEventGroupWaitBitsImpl,EventBits_t(xEventGroupWaitBitsParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTimerGetExpiryTimeImpl,212
MPU_xEventGroupClearBitsImpl,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTimerCreate,213
MPU_xEventGroupSetBitsImpl,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTimerCreateStatic,214
MPU_xEventGroupSyncImpl,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTimerGetStaticBuffer,215
MPU_uxEventGroupGetNumberImpl,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xTimerGenericCommandFromISR,216
MPU_vEventGroupSetNumberImpl,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xEventGroupWaitBits,217
